Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
101934	101934|Genetic cardiac rhythm disease|-|-|-|
101936	101936|Rare gastroesophageal disease|-|-|-|
101937	101937|Rare pancreatic disease|-|-|-|
101938	101938|Rare vascular liver disease|-|-|-|
101939	101939|Rare parenchymal liver disease|-|-|-|
101940	101940|Rare metabolic liver disease|-|-|-|
101941	101941|Rare biliary tract disease|-|-|-|
101943	101943|Rare hepatic and biliary tract tumor|-|-|-|
101944	101944|Rare pulmonary disease|-|-|-|
101945	101945|Rare bronchopulmonary tumor|-|-|-|
101949	101949|Rare acquired eye disease|-|-|-|
101950	101950|Rare eye tumor|-|-|-|
101952	101952|Rare diabetes mellitus|-|-|-|
101953	101953|Rare dyslipidemia|-|-|-|
101954	101954|Rare adrenal disease|-|-|-|
101955	101955|Rare thyroid disease|-|-|-|
101956	101956|Polyendocrinopathy|-|-|-|
101957	101957|Pituitary deficiency|-|-|-|
101958	101958|Primary adrenal insufficiency|-|-|-|
101959	101959|Chronic primary adrenal insufficiency|1-5 / 10 000|Multigenic/multifactorial|All ages|
101960	101960|Genetic chronic primary adrenal insufficiency|-|-|-|
101963	101963|Acquired chronic primary adrenal insufficiency|-|-|-|
101972	101972|Combined T and B cell immunodeficiency|-|-|-|
101977	101977|Immunodeficiency predominantly affecting antibody production|-|-|-|
101985	101985|Quantitative and/or qualitative congenital phagocyte defect|-|-|-|
101987	101987|Constitutional neutropenia|-|-|-|
101988	101988|Primary immunodeficiency due to a defect in innate immunity|-|-|-|
101992	101992|Immunodeficiency due to a complement cascade protein anomaly|-|-|-|
101995	101995|Periodic fever syndrome|-|-|-|
101997	101997|Primary immunodeficiency|1-9 / 100 000|-|-|
101998	101998|Rare epilepsy|-|-|-|
102	102|Multiple system atrophy|1-9 / 100 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|146500
1020	1020|Early-onset autosomal dominant Alzheimer disease|1-9 / 100 000|Autosomal dominant|Adult|104300 104310 602096 605055 605526 606187 606889 607116 607822 609636 609790 611073 611152 611154 611155
102000	102000|Medullar disease|-|-|-|
102002	102002|Rare ataxia|-|-|-|
102003	102003|Rare movement disorder|-|-|-|
102005	102005|Brain inflammatory disease|-|-|-|
102006	102006|Neurovascular malformation|-|-|All ages|
102009	102009|Classic lissencephaly|-|-|-|
102010	102010|Other syndrome with lissencephaly as a major feature|-|-|-|
102011	102011|Lissencephaly type 3|-|-|-|
102012	102012|Pure hereditary spastic paraplegia|-|-|-|
102013	102013|Complex hereditary spastic paraplegia|-|-|-|
102014	102014|Autosomal dominant limb-girdle muscular dystrophy|-|-|-|
102015	102015|Autosomal recessive limb-girdle muscular dystrophy|-|-|-|
102020	102020|Autosomal monosomy|-|-|-|
102021	102021|Rickettsial disease|-|-|-|
102022	102022|Spotted fever rickettsiosis|-|-|-|
102023	102023|Typhus-group rickettsiosis|-|-|-|
102024	102024|Human herpesvirus 8-related disorder|-|-|-|
102025	102025|Nuclear cell envelopathy|-|-|-|
1021	1021|Amaurosis-hypertrichosis syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|204110
102237	102237|Unexplained periodic fever syndrome|-|-|-|
102283	102283|Multiple congenital anomalies/dysmorphic syndrome-intellectual disability|-|-|-|
102284	102284|Multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome|-|-|-|
102285	102285|Multiple congenital anomalies/dysmorphic syndrome without intellectual disability|-|-|-|
1023	1023|Congenital generalized hypertrichosis, Ambras type|<1 / 1 000 000|Unknown|Neonatal|145701
102369	102369|Rare syndromic intellectual disability|-|-|-|
102373	102373|Primary glomerular disease|-|-|-|
102379	102379|Acute myeloid leukemia and myelodysplastic syndromes related to alkylating agent|-|-|-|
102381	102381|Acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor|-|-|-|
1027	1027|Autosomal recessive amelia|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|601360
102724	102724|Acute myeloid leukemia with t(8;21)(q22;q22) translocation|-|-|-|
1028	1028|Ameloonychohypohidrotic syndrome|<1 / 1 000 000|-|No data available|104570
1031	1031|Amelogenesis imperfecta-nephrocalcinosis syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|204690
1032	1032|Hyperdibasic aminoaciduria type 1|-|-|-|222690
1034	1034|Amniotic bands|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;Not applicable<br>or&nbsp;Unknown|Antenatal|
1035	1035|Beta-mercaptolactate cysteine disulfiduria|-|-|-|249650
1037	1037|Arthrogryposis multiplex congenita|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive<br>or&nbsp;Not applicable|Neonatal|
103907	103907|Chronic diarrhea due to glucoamylase deficiency|Unknown|-|Childhood|
103908	103908|Congenital sodium diarrhea|<1 / 1 000 000|Autosomal recessive|-|270420 616868
103909	103909|Trehalase deficiency|Unknown|Autosomal dominant|-|612119
103910	103910|Congenital enterocyte heparan sulfate deficiency|<1 / 1 000 000|-|Infancy<br>Neonatal|
103912	103912|-|<1 / 1 000 000|-|Infancy<br>Neonatal|
103916	103916|Autoimmune enteropathy type 2|-|-|-|
103917	103917|Autoimmune enteropathy type 3|-|-|-|
103918	103918|Tropical pancreatitis|Unknown|-|Childhood|608189
103919	103919|Autoimmune pancreatitis|-|Not applicable|-|
103920	103920|Undetermined colitis|-|-|-|
104	104|Leber hereditary optic neuropathy|1-9 / 100 000|Mitochondrial inheritance|Adolescent<br>Adult|308905 535000
1040	1040|Metaphyseal anadysplasia|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|602111 613073
104003	104003|Congenital intestinal transport defect|-|-|-|
104004	104004|Intestinal disease due to vitamin absorption anomaly|-|-|-|
104005	104005|Intestinal disease due to fat malabsorption|-|-|-|
104006	104006|Congenital intestinal disease due to an enzymatic defect|-|-|-|
104007	104007|Congenital enteropathy involving intestinal mucosa development|-|-|-|
104008	104008|Short bowel syndrome|1-9 / 100 000|-|-|
104009	104009|Rare disease involving intestinal motility|-|-|-|
104010	104010|Intestinal polyposis syndrome|-|-|-|
104011	104011|Rare tumor of intestine|-|-|-|
104012	104012|Rare inflammatory bowel disease|-|-|-|
104013	104013|Metabolic disease with intestinal involvement|-|-|-|
104075	104075|Adenocarcinoma of the small instestine|-|-|-|
104076	104076|Leiomyosarcoma of small intestine|-|-|-|
104077	104077|Myopathic intestinal pseudoobstruction|-|-|-|
104078	104078|Unclassified intestinal pseudoobstruction|-|-|-|
1041	1041|Hydrops fetalis|Unknown|Not applicable|Antenatal<br>Neonatal|236750
1044	1044|-|Unknown|Autosomal dominant|No data available|102800
1046	1046|Lethal hemolytic anemia-genital anomalies syndrome|<1 / 1 000 000|Unknown|Neonatal|600461
1047	1047|Sideroblastic anemia|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive<br>or&nbsp;X-linked dominant<br>or&nbsp;Mitochondrial inheritance<br>or&nbsp;Not applicable|All ages|
1048	1048|Isolated anencephaly/exencephaly|1-9 / 1 000 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|Infancy<br>Neonatal|206500
105	105|Atresia of urethra|-|Not applicable|Neonatal<br>Antenatal|
1051	1051|Ramos-Arroyo syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|122430
1052	1052|Mosaic variegated aneuploidy syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Neonatal<br>Antenatal|257300 614114
1053	1053|Vein of Galen aneurysm|Unknown|Not applicable|Infancy<br>Neonatal<br>Antenatal|
1054	1054|Aneurysm of sinus of Valsalva|Unknown|Unknown|Adult|
1055	1055|Fetal left ventricular aneurysm|-|-|Antenatal<br>Neonatal|
1059	1059|Blue rubber bleb nevus|Unknown|Autosomal dominant|Childhood|112200
1062	1062|Hereditary neurocutaneous malformation|<1 / 1 000 000|Autosomal dominant|Childhood|106070
1063	1063|Tufted angioma|Unknown|Multigenic/multifactorial<br>or&nbsp;Not applicable|Childhood|607859
1064	1064|Aniridia-renal agenesis-psychomotor retardation syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|206750
1065	1065|Aniridia-cerebellar ataxia-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|206700
1067	1067|Aniridia-ptosis-intellectual disability-familial obesity syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|
1068	1068|Aniridia-intellectual disability syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|
1069	1069|Aniridia-absent patella syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal<br>Antenatal|106220
107	107|BOR syndrome|Unknown|Autosomal dominant|All ages|113650 610896
1070	1070|Anisakiasis|Unknown|-|Childhood<br>Adolescent<br>Adult<br>Elderly|
1071	1071|Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome|Unknown|Autosomal dominant|Neonatal|106260
1072	1072|Ankyloblepharon filiforme adnatum-cleft palate syndrome|Unknown|Autosomal dominant|Neonatal|106250
1074	1074|Ankyloblepharon filiforme adnatum-imperforate anus syndrome|<1 / 1 000 000|Unknown|Neonatal|
1077	1077|Dental ankylosis|Unknown|-|Childhood|
1078	1078|Thumb stiffness-brachydactyly-intellectual disability syndrome|<1 / 1 000 000|Autosomal dominant|All ages|188201
108	108|Babesiosis|<1 / 1 000 000|Not applicable|All ages|
1081	1081|Coronary artery congenital malformation|-|-|-|
1083	1083|Microlissencephaly|Unknown|Autosomal recessive|Infancy<br>Neonatal|614019 616212
1084	1084|Isolated lissencephaly type 1 without known genetic defects|Unknown|Unknown|Infancy<br>Neonatal|
1088	1088|Rommen-Mueller-Sybert syndrome|-|-|-|
108959	108959|Non-syndromic esophageal malformation|-|-|-|
108961	108961|Syndromic esophageal malformation|-|-|-|
108963	108963|Non-syndromic gastroduodenal malformation|-|-|-|
108965	108965|Syndromic gastroduodenal malformation|-|-|-|
108967	108967|Non-syndromic intestinal malformation|-|-|-|
108969	108969|Syndromic intestinal malformation|-|-|-|
108971	108971|Non-syndromic visceral malformation|-|-|-|
108973	108973|Syndromic visceral malformation|-|-|-|
108977	108977|Non-syndromic diaphragmatic or abdominal wall malformation|-|-|-|
108979	108979|Syndromic diaphragmatic or abdominal wall malformation|-|-|-|
108985	108985|Non-syndromic developmental defect of the eye|-|-|-|
108987	108987|Syndromic developmental defect of the eye|-|-|-|
108989	108989|Non-syndromic central nervous system malformation|-|-|-|
108991	108991|Syndrome with a central nervous system malformation as major feature|-|-|-|
108993	108993|Non-syndromic respiratory or mediastinal malformation|-|-|-|
108995	108995|Syndromic respiratory or mediastinal malformation|-|-|-|
108997	108997|Rare anemia|-|-|-|
108999	108999|Rare intoxication|-|-|-|
109	109|Bannayan-Riley-Ruvalcaba syndrome|Unknown|Autosomal dominant|Infancy<br>Neonatal|153480
109007	109007|Arthrogryposis syndrome|-|-|-|
109009	109009|Syndrome with limb malformations as a major feature|-|-|-|
109011	109011|Non-syndromic limb malformation|-|-|-|
1092	1092|Renal-genital-middle ear anomalies|<1 / 1 000 000|-|Neonatal|267400
1094	1094|Anonychia-microcephaly syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|607214
11	11|Pentasomy X|Unknown|-|Neonatal|
110	110|Bardet-Biedl syndrome|1-9 / 1 000 000|Oligogenic<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal<br>Antenatal|209900 600151 605231 615981 615982 615983 615984 615985 615986 615987 615988 615989 615990 615991 615992 615993 615994 615995 615996 617119
1101	1101|Anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
1104	1104|Anophthalmia plus syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|600776
1106	1106|Microphthalmia with limb anomalies|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|206920
111	111|Barth syndrome|1-9 / 1 000 000|X-linked recessive|Childhood|302060
1110	1110|Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|107500
1112	1112|Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|207620
1113	1113|Aphalangy-syndactyly-microcephaly syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal<br>Antenatal|600384
1114	1114|Aplasia cutis congenita|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Not applicable|Antenatal<br>Neonatal|107600
1115	1115|Recessive aplasia cutis congenita of limbs|<1 / 1 000 000|Autosomal recessive|Neonatal|600360
1116	1116|Aplasia cutis congenita-intestinal lymphangiectasia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|207731
1117	1117|Aplasia cutis-myopia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|601075
1118	1118|Fibular aplasia-ectrodactyly syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|113310
112	112|Bartter syndrome|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Antenatal<br>Neonatal<br>Infancy<br>Childhood<br>Adolescent<br>Adult|241200 300971 601198 601678 602522 607364 613090
1120	1120|Lung agenesis-heart defect-thumb anomalies syndrome|<1 / 1 000 000|-|-|601612
1121	1121|Radial deficiency-tibial hypoplasia syndrome|-|-|-|
