MIM Orpha;
180600 169;
180700 3107;97360;
180730 3110;
180800 3115;
180849 353277;783;
180860 813;
180870 3121;
180900 2709;
180920 86815;
181000 797;
181030 276148;454821;
181180 2013;
181250 1003;
181270 2036;
181350 261;98853;
181400 85146;
181405 431255;
181430 437572;
181440 3135;
181450 3138;
181460 1247;
181600 384;
181700 91490;
181750 90290;90291;
182150 1968;
182170 260305;
182190 166282;
182210 3164;
182212 2462;
182230 3157;95494;
182250 85191;
182280 70573;
182290 819;
182410 820;
182600 100984;
182601 100985;
182610 2816;
182690 2820;
182815 2821;
182820 2826;
182875 3038;
182900 822;
182920 268129;
182940 268357;823;
182950 137817;
182960 139518;
182980 209335;
182990 2356;
183086 98758;
183090 98756;
183300 2063;
183600 2440;
183700 2439;
183800 2329;
183802 2437;
183849 168443;
183900 94068;
184000 163668;
184095 263482;
184100 93284;
184250 93346;
184252 93314;
184253 93316;
184255 93315;
184260 166272;
184400 3181;
184460 140917;
184500 841;
184510 3184;
184705 3186;
184840 166100;
184850 3198;438266;443192;443804;
184900 2833;
185000 3203;
185020 398088;
185050 98454;
185070 3204;
185120 2863;
185300 3205;
185480 3465;
185500 3193;
185700 3248;
185750 3246;
185800 3250;
185900 1527;93402;
186000 295195;93403;
186100 93404;
186200 93405;
186300 93406;
186350 3259;
186400 1412;
186500 3237;
186550 1275;
186570 1412;
186580 90340;
186700 3280;
187300 774;
187360 397;
187370 251515;
187390 3294;
187500 3303;
187510 2564;
187600 1860;2655;
187601 2655;93274;
187760 3317;
187770 3317;
187800 140957;
187900 721;
187950 3318;71493;
188000 168629;268322;
188025 851;
188030 3002;
188150 2251;
188201 1078;
188400 567;
188455 93953;
188470 319487;
188550 146;319487;
188570 3221;
188580 79102;
188700 2768;
188740 3332;988;
189500 2228;
189800 275555;
189960 1199;
189961 3348;
190100 53372;
190310 3350;
190320 3352;
190330 411788;
190350 77258;
190351 77258;
190360 3361;
190400 221091;
190440 3366;
190650 3133;
190680 2947;
190685 870;
190900 88629;
191000 3383;
191100 805;
191400 2634;
191420 1837;
191440 2497;
191480 1410;
191482 1264;
191520 3408;
191830 411709;
191900 575;
192050 3411;
192315 247691;3421;63261;71291;
192350 887;
192430 567;
192445 3201;
192500 101016;768;
192800 2064;
192950 178382;
193000 289365;
193005 1767;
193090 2967;
193100 89937;
193200 247871;
193220 263347;3086;
193230 91496;
193235 329211;
193240 2997;
193250 2454;
193300 892;
193400 166078;903;
193500 3440;894;
193510 3440;895;
193530 952;
193670 51636;
193700 2053;
193900 171723;
194050 904;
194070 654;
194071 654;
194072 893;
194080 220;
194090 654;
194190 280;
194300 170;
194350 3466;
194380 3202;
194470 251523;
200100 14;
200110 920;
200130 2985;
200150 2388;
200170 90301;
200400 930;
200450 929;
200500 931;
200600 932;93299;
200610 932;93296;93297;
200700 2098;
200900 935;
200950 35121;
200970 2561;
200980 958;
200990 36;
200995 221054;
201000 65759;
201020 65798;
201050 949;
201100 37;
201170 1788;
201180 1784;
201200 2500;
201250 968;
201300 970;
201310 971;
201400 199296;
201450 42;
201470 26792;
201475 26793;
201550 2952;
201710 418;90790;
201810 418;90791;
201910 418;90794;
202010 418;90795;
202110 418;90793;
202150 95700;
202155 95702;
202200 361;
202300 1501;
202355 361;
202370 44;772;
202400 101041;335;98880;
202650 990;
202660 991;
202700 486;
202900 3199;
203000 2007;
203100 352731;79431;
203200 79432;
203290 79433;
203300 231500;79430;
203330 94090;
203340 2513;
203400 427;99763;
203450 58;
203500 56;
203550 1005;
203600 2574;
203650 2850;
203655 701;
203700 726;
203740 31;
203750 134;
203780 63;88919;
203800 64;
204000 65;
204100 65;
204110 1021;
204200 228346;79264;
204300 228340;79262;
204500 168491;228349;79264;
204650 100031;88661;
204690 1031;
204700 100033;88661;
204750 79154;
204870 98957;
205100 300605;
205250 803;
205400 31150;
205950 260305;
206100 83642;
206200 209981;
206500 1048;
206550 199279;
206700 1065;
206750 1064;
206780 99797;
206800 79143;94150;
206900 77298;
206920 1106;
207410 83;
207500 557;
207600 3287;
207620 1112;
207731 1116;
207740 2926;
207750 309020;444490;
207770 3469;
207780 1133;
207790 2356;
207800 90;
207900 23;
207950 1136;
208000 51608;
208050 3342;
208085 2697;
208100 1143;
208150 994;
208155 1150;
208158 1485;
208200 1149;
208230 1159;
208250 2848;
208300 1160;
208400 93;
208500 474;
208530 97548;
208540 294415;
208850 1188;
208900 100;
208910 100;
208920 1168;
209010 1192;
209300 1195;
209500 86819;
209700 79100;
209770 1488;
209880 661;99803;
209885 1231;
209900 110;
209920 572;
209950 319569;99898;
209970 1237;
210000 1239;
210200 6;
210210 6;
210250 101022;2882;
210350 141333;
210370 41751;
210400 2695;
210500 30391;
210600 808;
210700 2617;
210710 2636;
210720 2637;
210730 2636;
210740 1227;
210745 2057;
210900 125;
211000 94086;
211120 1842;
211170 1266;
211180 1270;
211350 1801;
211355 2292;
211370 2713;
211380 1299;
211400 60033;
211480 36258;
211530 97229;
211600 172;79306;
211750 1308;
211770 1375;
211800 289601;
211890 1318;
211900 306661;53715;
211910 1327;
211920 1326;
211930 1321;
211960 3292;
211990 140;
212050 457088;
212065 79318;
212066 79329;
212080 137675;
212112 2229;
212135 1354;
212138 159;
212140 158;
212200 1361;
212350 1369;
212360 1366;
212400 1376;
212500 91492;
212550 435930;
212710 1368;
212720 1387;
212780 3258;
212835 1174;
212840 1173;
212895 1177;
213000 2246;
213002 85186;
213010 2031;
213200 1170;
213300 475;
213600 1980;
213700 909;
213900 702;
213980 1394;
214100 912;
214110 912;
214150 1466;191;
214200 79263;
214300 2345;
214370 90103;
214400 99948;
214450 381;79476;
214500 167;
214700 53689;
214800 138;
214900 1414;
214950 79095;
215045 50945;
215100 177;309789;
215105 79347;
215140 1426;
215150 1427;
215300 55880;
215400 178;
215450 1429;
215470 1180;
215480 1313;
215500 75377;
215518 244;
215520 244;
215600 209919;
215700 247525;
215800 2004;93940;
215850 3429;
216100 2319;
216300 2010;
216330 1452;
216340 3472;
216360 1454;
216400 191;90321;90322;90324;
216411 191;90324;
216550 193;
216700 79147;
216800 91494;
216820 194;
216900 49382;
216950 169147;
217000 169147;
217080 1873;
217085 1338;
217090 722;97231;
217095 2445;3384;3426;
217100 295000;93937;
217150 2215;
217300 53691;
217400 1490;
217600 98972;
217700 293603;
217800 98969;
217980 3338;
218000 1496;
218010 1389;
218030 320;
218040 3071;
218090 1512;
218300 1513;
218330 1515;
218340 1777;
218350 1516;
218400 1522;
218450 2872;
218550 1533;
218600 1225;
218670 1528;
218700 95712;95713;95719;95720;
218800 205;79234;
218900 1380;
219000 2052;
219080 189427;
219090 96253;
219095 2881;
219100 90349;
219150 2962;35664;
219200 357058;357074;
219250 1556;
219500 212;
219700 586;
219721 2575;
219730 443988;
219750 213;411641;
219800 213;411629;
219900 213;411634;
220100 214;93612;93613;
220110 254905;
220111 70472;
220120 941;
220150 94088;
220200 217;
220210 7;
220219 1970;
220220 1566;
220290 90636;
220400 768;90647;
220500 3231;79500;
220600 71271;
221200 363396;
221300 3216;
221320 3236;
221350 3239;
221400 3217;
221740 3230;
221745 90641;
221750 231720;
221770 2770;
221790 1659;
221800 79149;
221810 1657;
221820 313808;
221900 91495;
221995 3145;
222300 3463;
222400 2140;
222448 2143;
222470 84064;
222500 1671;
222600 628;
222690 1032;
222700 470;
222730 2195;
222748 38874;
222765 177;309796;
222800 714;
222900 35122;
223000 53690;
223330 2464;
223340 3439;
223360 230;
223370 235;
223400 1203;
223800 239;
223900 1764;
224050 1766;
224100 98873;
224120 98869;
224230 1775;
224300 1782;
224400 156731;
224410 1865;
224500 99657;
224690 2554;
224700 1880;
224750 50944;
224800 1883;
224900 238468;248;
225040 1812;
225050 1882;
225060 141291;199302;199306;3253;
225100 1885;
225200 1885;
225250 95712;95713;95720;
225280 1897;
225290 1892;
225300 2440;
225310 75501;
225320 230851;
225400 1900;
225410 1901;
225500 289;
225750 51;
225753 166063;
225755 1261;
225790 221126;
226000 2022;
226200 168601;
226350 3165;
226400 302;
226440 231556;
226600 79408;79409;
226650 251393;79402;79405;89840;
226670 257;
226700 79404;
226730 79403;
226750 1946;
226810 1459;
226850 1951;
226900 93307;
226960 1824;
226980 1667;
226990 2566;
227010 999;
227050 98871;
227090 1954;
227210 3172;
227255 1780;
227260 1807;398166;
227270 1972;
227280 1973;
227300 35909;
227310 35909;
227330 1974;
227400 326;
227500 327;
227600 328;
227645 84;
227646 84;
227650 84;
227810 2088;
228000 333;
228020 2833;
228200 2019;
228250 1986;
228300 325448;
228355 1910;
228520 2021;
228550 2591;
228560 2025;
228600 2028;2176;
228800 49041;
228900 2639;
228930 2854;
228940 2256;
228960 483;
228980 363989;
228990 99179;
229050 90045;
229070 52901;
229100 51208;
229120 3219;
229200 90354;
229300 95;
229400 1791;
229600 469;
229700 348;
229800 2056;
229850 2059;
230000 349;
230200 352;79237;
230350 352;79238;
230400 352;79239;
230450 33574;
230500 354;79255;
230600 354;79256;
230650 354;79257;
230740 2067;
230750 2368;
230800 355;77259;
230900 355;77260;
231000 355;77261;
231005 2072;355;
231050 2623;
231060 2075;
231070 2078;
231080 2077;
231090 254688;99927;
231095 1802;
231100 446;
231200 274;
231300 98976;98977;
231530 71212;
231550 869;
231670 25;
231680 26791;
231690 35706;
231900 289849;32;
231950 33573;
232200 364;79258;
232220 364;79259;
232240 364;79259;
232300 365;
232400 366;
232500 308621;308638;308655;308670;308684;308698;308712;367;
232600 368;
232700 369;
232800 371;
233100 69076;
233300 243;
233400 2855;
233420 242;
233430 1770;
233450 375;
233500 2095;
233650 157949;
233670 379;
233690 379;
233700 379;
233710 379;
233805 1979;
233810 2101;
233910 2102;238583;
234000 330;
234030 1408;
234050 33364;
234100 2108;
234200 157850;
234250 2107;
234280 2110;
234500 2116;
234580 3220;
234700 60041;
234810 199241;
234820 2126;
235000 2128;
235200 465508;
235255 1655;
235370 288;
235400 2134;90038;93579;93581;
235500 99931;
235510 2136;
235550 79124;
235555 79303;
235700 90031;
235730 2152;
235740 2155;
235760 2153;
235800 2157;
235830 2158;
236000 391;
236100 2162;
236110 2167;
236130 2168;
236200 394;
236250 395;
236270 2169;622;
236400 3265;
236600 2185;
236640 3035;
236660 2181;
236670 588;899;
236680 2189;
236700 2473;
236730 2704;
236750 1041;163596;363999;
236792 79314;
236800 79155;
236900 79156;
237300 147;
237310 927;
237400 309147;
237450 3111;
237500 234;
237900 2312;
238320 755;96265;96266;
238600 309015;444490;
238700 2203;
238710 2203;
238970 415;
239000 2801;
239100 3416;
239200 417;
239300 247262;
239500 419;
239510 79101;
239710 2211;
239800 2213;
239840 2218;
239850 1517;
240200 85138;
240300 3453;
240500 1572;
240600 2089;
240900 293964;
240950 2410;
241080 3464;
241090 2232;
241200 112;93604;
241310 1790;
241410 2323;
241500 247623;247651;436;
241510 247667;436;
241520 289176;
241530 157215;
241550 2248;
241760 2261;
241850 1226;
242050 94088;
242100 281122;79394;
242150 477;
242300 100976;281122;313;
242500 457;
242510 2269;
242520 2274;
242530 2278;
242600 42062;
242670 244;
242680 244;
242700 83471;
242840 1493;
242860 2268;
242900 1830;
243000 88642;970;
243060 137893;399808;
243150 2300;436252;
243180 2978;
243185 1654;
243200 238624;
243300 65682;99960;
243310 2995;
243320 332;
243440 2306;
243500 33;
243600 1201;
243605 444069;
243700 217390;
243800 2315;
243910 2318;
244200 432;478;
244300 2328;
244400 244;
244450 2707;
244460 2333;93324;
244850 86923;
245000 678;
245010 2342;
245050 832;
245100 1399;
245150 85202;
245190 2347;
245200 487;
245300 454745;
245340 171690;
245348 765;79244;
245349 255182;765;
245400 17;
245480 169142;
245550 1296;
245570 163721;1945;725;98818;
245590 220465;
245600 284139;
245650 2371;
245660 2407;
245800 2377;
245900 650;79293;
246000 2310;
246200 508;
246300 548;
246400 99870;
246450 20;
246500 1816;
246550 2390;
246555 1891;
246560 1307;2440;
246700 71;
246900 2394;765;
247100 530;
247200 531;
247410 1563;
247440 79452;
247610 79128;
247640 513;
247650 1334;
247990 2083;
248000 2477;
248110 2432;
248190 2196;
248200 827;
248250 31043;
248300 87503;
248340 293843;
248360 943;
248370 2457;90153;
248390 861;
248450 2717;
248500 61;
248510 118;
248600 268145;268162;268173;268184;511;
248700 2461;
248760 2172;
248770 2463;
248800 559;
248900 101001;
248910 2135;
248950 2471;
249000 564;
249100 342;
249210 2241;
249270 49827;
249310 2479;
249400 2481;
249420 137834;
249500 88616;
249599 3044;
249600 2557;
249620 2728;
249630 3079;
249650 1035;
249700 2632;
249710 2631;
249900 512;
250100 512;
250215 1240;
250220 93317;
250230 166038;
250250 175;
250400 2501;
250410 166035;
250420 2502;
250620 88639;
250700 621;
250790 621;
250800 621;
250850 168598;
250940 2170;622;
250950 67046;
250951 67048;
251000 27;289916;79312;
251100 28;79310;
251110 28;79311;
251120 308425;
251190 2643;
251200 2512;52183;
251220 2515;
251240 3132;
251250 2522;
251255 313795;
251260 647;
251270 2518;
251290 1229;
251300 2065;
251450 1425;
251505 98938;
251600 2542;
251750 238763;
251850 2290;
251880 279934;
251950 2597;
252010 2609;
252011 3208;
252100 2751;
252150 308386;833;99732;
252160 308393;833;99732;
252250 1334;
252300 582;
252320 2400;
252350 2573;
252500 576;
252600 423461;577;
252605 423470;577;
252650 578;
252900 581;79269;
252920 581;79270;
252930 581;79271;
252940 581;79272;
253000 309297;582;
253010 309310;582;
253200 583;
253220 584;
253250 2576;
253260 79241;
253270 79242;
253280 588;899;
253290 33108;
253300 70;83330;
253310 1486;
253320 3068;
253400 70;83419;
253550 70;83418;
253600 267;
253601 268;
253700 353;
253800 272;588;899;
253900 1155;
254000 1875;
254090 75840;
254110 1878;
254130 45448;
254190 590;
254200 589;
254210 590;98914;
254300 590;98913;
254400 2584;
254450 824;
254500 29073;314701;85443;
254600 2587;
254770 307;
254780 501;
254800 308;
254900 163696;
254940 1358;
255110 157;228302;
255120 156;
255125 43115;
255160 53698;
255200 169186;
255310 2020;
255320 598;98905;
255600 289380;
255700 614;
255710 3101;
255800 800;
255960 615;
255980 2662;
255990 2663;
255995 168572;
256000 255210;255241;506;70474;
256020 2613;
256030 171430;171433;171436;171439;
256040 2615;324977;324999;325004;
256050 56304;
256100 655;
256120 2668;
256150 87876;
256200 2669;
256300 839;
256370 656;
256450 276575;276598;79643;
256500 634;
256520 2671;
256540 351;
256550 812;87876;
256600 35069;
256690 2673;
256700 635;
256710 33445;
256730 168491;228329;79262;79263;79264;
256731 168491;228360;
256800 642;
256810 255229;
256840 139578;
256850 643;
257100 486;
257200 77292;
257220 646;
257270 215;
257300 1052;
257320 89844;
257350 79486;
257550 1125;
257790 2720;
257800 2719;
257850 2710;
257910 2714;
257920 293843;
257960 2718;
257970 2715;
257980 2721;
258040 322;93929;
258100 75382;
258150 399805;
258200 2920;
258315 2733;93329;
258320 2736;
258450 254886;
258480 2746;
258500 98676;99012;
258501 67047;
258840 2272;
258850 2752;
258860 2753;
258865 141007;
258870 414;
258900 30;
259050 3042;
259100 1525;2796;
259200 2768;
259250 2769;
259410 2772;
259420 216812;666;
259440 216804;216812;216820;666;
259450 2771;
259500 668;
259600 3460;371428;85196;
259610 2776;
259680 324964;
259690 2324;
259700 667;
259710 667;
259720 85179;
259730 2785;
259750 85193;
259770 2788;
259775 1832;
259780 2793;
259900 416;93598;
260000 416;93599;
260005 33572;
260130 2309;
260300 171695;
260350 1333;
260370 2805;
260400 811;
260470 2806;
260500 251899;2807;
