Transcript(ucsc/known) exons start end
uc001auh.3 4 12806162 12821102
uc001aui.3 3 12834983 12838048
uc001auj.2 4 12851545 12856777
uc001auk.2 4 12884467 12891264
uc001aum.1 4 12916940 12921764
uc001aun.2 4 12939032 12946025
uc001auo.3 4 12952726 12958094
uc001aup.3 4 12976449 12980568
uc001auq.2 4 12998301 13007406
uc001aut.1 3 13328195 13331692
uc001auu.1 4 13359818 13369057
uc001auv.3 4 13386646 13390765
uc001auw.1 4 13421175 13428191
uc001aux.3 3 13495253 13498259
uc001auy.2 4 13607430 13611550
uc001auz.4 4 13629937 13635299
uc001ava.1 4 13641972 13648988
uc001avb.3 2 13801444 13840242
uc001avd.3 6 13910251 13944452
uc001avi.3 10 14031349 14151574
uc001avm.4 15 14925212 15444544
uc001avx.3 3 15480228 15546974
uc001awb.2 31 15573767 15724622
uc001awc.1 2 15653175 15670372
uc001awh.2 4 15736390 15756839
uc001awi.1 8 15764937 15773153
uc001awk.3 8 15783222 15798586
uc001awl.3 8 15802595 15817895
uc001awn.4 9 15817895 15850940
uc001aws.3 15 15853351 15898228
uc001awv.2 7 15898193 15911605
uc001awx.2 10 15943952 15987552
uc001awz.3 1 15992765 15995537
uc001axb.1 5 16062808 16067884
uc001axc.4 6 16068986 16074292
uc001axe.1 9 16085254 16113084
uc001axj.2 2 16160709 16174642
uc001axk.1 15 16174358 16266950
uc001axl.4 16 16268363 16302627
uc001axm.1 1 16317618 16317647
uc001axn.3 2 16330730 16333184
uc001axo.2 3 16340522 16345285
uc001axu.3 20 16348485 16360545
uc001axz.4 7 16384263 16400127
uc001aya.2 17 16450831 16482582
uc001ayc.1 16 16524598 16539104
uc001ayd.3 5 16558181 16563659
uc001ayg.3 10 16576558 16678948
uc001aym.5 4 16693524 16724643
uc001ayn.3 13 16725137 16763919
uc001ayq.3 7 16767166 16786584
uc001ayt.2 15 16793930 16819196
uc001ayv.2 1 16862254 16864669
uc001ayw.4 29 16888921 16940100
uc001azf.3 7 16944756 16959841
uc001azn.1 11 17017712 17046652
uc001azs.1 2 17215040 17216161
uc001azt.2 37 17248444 17299474
uc001azw.3 9 17300998 17307173
uc001baa.2 29 17312452 17338423
uc001bae.3 8 17345224 17380665
uc001baf.3 16 17393255 17445948
uc001bah.1 16 17531620 17572501
uc001bai.3 16 17575592 17610727
uc001baj.2 16 17634689 17690495
uc001bak.1 17 17698740 17728195
uc001bal.3 12 17733250 17765059
uc001ban.3 29 17866329 18024370
uc001bat.3 3 18081807 18153558
uc001bau.2 10 18434239 18704977
uc001baw.1 1 18701063 18702174
uc001bax.3 1 18807423 18812480
uc001bay.3 8 18957499 19062632
uc001bba.1 6 19166092 19186155
uc001bbc.3 15 19197923 19229293
uc001bbd.2 9 19230773 19282826
uc001bbi.3 106 19400999 19536746
uc001bbo.4 23 19542157 19578053
uc001bbs.3 8 19578074 19586622
uc001bbv.1 7 19609056 19615280
uc001bbw.3 7 19629201 19638640
uc001bby.3 9 19638739 19655794
uc001bcf.2 1 19673334 19675427
uc001bcj.2 4 19969722 19984949
uc001bcl.3 3 19991779 20006055
uc001bcn.3 16 20008705 20126410
uc001bcr.3 1 20140521 20141771
uc001bcs.4 8 20208887 20239437
uc001bct.1 4 20246799 20250110
uc001bcy.3 5 20396700 20418394
uc001bcz.4 4 20439142 20446059
uc001bdb.3 2 20512577 20519942
uc001bdf.2 12 20686293 20755287
uc001bdh.3 2 20808883 20812728
uc001bdi.4 4 20825940 20834674
uc001bdj.3 1 20878931 20881513
uc001bdk.3 4 20915443 20945400
uc001bdm.3 8 20959947 20978004
uc001bdo.1 11 20978259 20988037
uc001bdr.4 15 20990506 21044317
uc001bdw.1 13 21069170 21113181
uc001bef.3 35 21132784 21503381
uc001bei.2 18 21543739 21616766
uc001ben.1 1 21602542 21604868
uc001beo.2 3 21619782 21626362
uc001bep.1 5 21749600 21754300
uc001beq.1 2 21761832 21762609
uc001ber.4 15 21766582 21811393
uc001bet.3 12 21835857 21904905
uc001bew.3 25 21922707 21978348
uc001bfb.3 27 22004791 22109688
uc001bfg.1 5 22138757 22151714
uc001bfj.3 97 22148736 22263750
uc001bfk.3 8 22303417 22315847
uc001bfm.4 2 22351706 22357715
uc001bfr.3 6 22379119 22419436
uc001bfs.4 5 22443797 22469519
uc001bfu.2 18 22778343 22857650
uc001bfx.1 17 22890003 22930087
uc001bfy.3 3 22963117 22966175
uc001bga.4 3 22970117 22974603
uc001bgd.3 3 22979681 22988029
uc001bge.3 16 23037330 23241823
uc001bgg.1 1 23243782 23247347
uc001bgh.1 3 23337326 23342343
uc001bgj.2 21 23345940 23410184
uc001bgn.3 1 23518387 23521222
uc001bgp.4 11 23636275 23670853
uc001bgt.3 3 23685940 23694879
uc001bgw.3 1 23695463 23698330
uc001bha.2 25 23755055 23810750
uc001bhd.4 1 23801092 23803135
uc001bhe.2 7 23832919 23857712
uc001bhf.1 1 23853364 23855542
uc001bhh.4 3 23884420 23886285
uc001bhi.3 7 23907984 23967056
uc001bhk.3 6 24018268 24022915
uc001bho.3 11 24069855 24088549
uc001bhp.2 4 24086871 24104787
uc001bhq.3 6 24104875 24114722
uc001bht.3 10 24117645 24122029
uc001bib.3 9 24128366 24151949
uc001bie.3 8 24171571 24194859
uc001bif.3 2 24200459 24239817
uc001big.3 3 24286300 24289949
uc001bin.4 37 24382530 24438665
uc001biq.2 7 24446260 24469775
uc001bis.3 7 24480646 24513765
uc001bjc.3 9 24683488 24740262
uc001bjh.3 12 24742244 24799473
uc001bjj.3 5 24829386 24863510
uc001bjk.2 4 24882566 24935818
uc001bjm.3 17 24969593 24999772
uc001bjo.2 6 25071759 25170815
uc001bjq.3 5 25226001 25256770
uc001bjt.1 7 25548766 25559013
uc001bjw.3 5 25568739 25573985
uc001bjz.3 10 25598980 25656936
uc001bkd.1 1 25629228 25631643
uc001bke.3 7 25664788 25688852
uc001bkf.3 10 25688739 25747363
uc001bkk.3 11 25757387 25826698
uc001bkl.4 9 25870075 25895377
uc001bkm.2 12 25943958 26111258
uc001bkq.4 7 26146396 26159433
uc001bkw.1 3 26160496 26185848
uc001bkx.3 2 26187974 26197744
uc001bld.4 11 26286257 26324648
uc001blf.3 11 26348270 26362954
uc001blg.1 8 26364513 26372604
uc001bli.2 9 26377795 26394125
uc001blk.3 2 26485510 26489119
uc001bll.4 3 26496387 26497364
uc001blm.4 21 26503980 26516375
uc001blq.3 4 26551810 26556331
uc001bls.1 14 26560692 26605299
uc001blu.3 3 26606212 26608013
uc001blw.3 16 26608772 26633195
uc001bmc.3 2 26644410 26647014
uc001bmd.4 20 26648349 26680621
uc001bmj.3 4 26737268 26756219
uc001bmk.3 9 26758772 26797795
uc001bmo.1 3 26789254 26794028
uc001bmp.4 6 26798901 26803133
uc001bms.1 21 26872342 26901520
uc001bmv.1 20 27022521 27108601
uc001bmz.3 4 27114453 27124894
uc001bnb.3 8 27153200 27182211
uc001bnc.1 1 27189632 27190947
uc001bnd.1 5 27205872 27216869
uc001bne.3 7 27216978 27226962
uc001bnf.3 2 27237974 27240567
uc001bng.2 9 27248212 27273362
uc001bni.2 4 27276046 27286901
uc001bnj.4 2 27320194 27327377
uc001bnm.4 12 27425299 27481621
uc001bnr.4 6 27648635 27662891
uc001bnw.2 15 27668482 27680423
uc001bny.1 29 27681669 27693337
uc001boa.3 8 27695600 27701315
uc001boc.3 5 27705595 27709805
uc001bod.4 2 27719147 27722317
uc001bof.2 9 27730733 27816678
uc001bom.3 13 27938800 27961727
uc001bon.1 5 27992571 27998724
uc001bor.3 10 28052489 28089423
uc001bou.4 9 28099693 28150963
uc001bov.2 7 28157251 28178183
uc001boy.1 1 28160911 28161077
uc001bpc.4 6 28199054 28213193
uc001bpe.1 9 28218048 28241236
uc001bpg.3 8 28261503 28285663
uc001bph.1 3 28286503 28294604
uc001bpi.2 18 28296854 28415148
uc001bpl.3 2 28473676 28503455
uc001bpn.3 9 28526789 28559542
uc001bpq.3 3 28562601 28564616
uc001bps.3 10 28585962 28609002
uc001bpy.3 13 28764660 28826881
uc001bqd.3 4 28832454 28837404
uc001bqf.2 11 28844744 28865708
uc001bqi.3 9 28879528 28905057
uc001bqo.3 3 28905049 28908383
uc001bqq.1 1 28905254 28905334
uc001bqv.3 2 28919006 28921088
uc001bqy.3 6 28929608 28969604
uc001bra.3 10 28995239 29042115
uc001brf.1 3 29138653 29190208
uc001brm.2 21 29213602 29446558
uc001brn.2 2 29445936 29450421
uc001bro.3 6 29474249 29508637
uc001brq.1 10 29519384 29557454
uc001bru.3 31 29563027 29653325
uc001bry.3 7 30486798 30510456
uc001brz.3 8 31184123 31196432
uc001bsb.1 4 31191618 31199593
uc001bsc.2 8 31205314 31230683
uc001bse.2 5 31342312 31381480
uc001bsh.1 22 31404352 31538564
uc001bsl.1 1 31441009 31441084
uc001bso.3 10 31732414 31769644
uc001bsp.1 8 31769841 31837780
uc001bss.1 4 31838099 31845923
uc001bsy.1 3 31984035 31989846
uc001bta.3 12 32042085 32053287
uc001bth.2 5 32095462 32110838
uc001btk.1 71 32117847 32169768
uc001btn.3 33 32192717 32229648
uc001bts.1 16 32256024 32281580
uc001bty.2 6 32372021 32403988
uc001bub.4 9 32479294 32509482
uc001bug.3 14 32573643 32642168
uc001bui.3 11 32645344 32663886
uc001bul.1 6 32666201 32670991
uc001bum.2 5 32671235 32674288
uc001bun.2 9 32674694 32681797
uc001buq.4 5 32681797 32687926
uc001buv.4 9 32697260 32707311
uc001buw.3 2 32712817 32714461
uc001buy.3 13 32739711 32751766
uc001bvb.1 14 32757707 32799224
uc001bvd.4 2 32799429 32801840
uc001bvf.3 2 32827861 32829924
uc001bvl.4 4 32930657 32953459
uc001bvn.3 5 33004771 33071542
uc001bvp.3 7 33087306 33116185
uc001bvr.3 12 33116748 33151812
uc001bvt.2 5 33145506 33168361
uc001bvu.1 7 33207511 33240571
uc001bvy.1 13 33240839 33283633
uc001bwc.4 7 33283118 33324480
uc001bwg.3 5 33327868 33338082
uc001bwh.3 4 33352097 33360247
uc001bwi.1 6 33360195 33366953
uc001bwn.3 2 33452675 33498070
uc001bwp.2 6 33476825 33502512
uc001bwr.3 12 33546713 33585995
uc001bxa.1 1 33607471 33608831
uc001bxb.3 5 33611002 33647671
uc001bxc.1 9 33722173 33766320
uc001bxg.1 14 33789223 33841194
uc001bxj.4 8 33938231 33961995
uc001bxn.1 70 33979608 34631443
uc001bxp.3 2 34326075 34330392
uc001bxr.3 8 34334556 34351059
uc001bxt.3 7 34642552 34684731
uc001bxu.4 2 35220647 35224113
uc001bxv.1 2 35225341 35229325
uc001bxy.3 2 35247910 35251967
uc001bya.3 2 35258598 35261348
uc001byb.3 2 35315962 35325417
uc001byc.3 10 35331036 35370984
uc001bye.3 3 35447126 35450948
uc001byh.3 16 35451766 35497569
uc001bym.3 10 35544971 35581455
uc001byq.3 3 35641980 35646083
uc001bys.3 10 35649200 35658743
uc001byt.3 30 35734567 35887545
uc001byx.3 21 35899090 36023037
uc001bza.3 8 36023392 36032380
uc001bzf.2 6 36065142 36107445
uc001bzh.1 2 36179476 36184790
uc001bzi.3 25 36197712 36235551
uc001bzj.2 18 36273827 36323490
uc001bzl.3 19 36348809 36389899
uc001bzm.1 1 36391432 36395210
uc001bzp.3 19 36396682 36522063
uc001bzr.3 10 36549675 36553876
uc001bzt.3 6 36554452 36559533
uc001bzv.2 2 36560843 36565850
uc001bzz.3 17 36621802 36646441
uc001cae.4 12 36690016 36770957
uc001caj.1 3 36787631 36789755
uc001cak.1 12 36805224 36851485
uc001cao.1 2 36859030 36863493
uc001caq.3 10 36883506 36916086
uc001cas.2 8 36921361 36930040
uc001cax.2 17 36931643 36948915
uc001caz.2 16 37261127 37499844
uc001cbb.4 6 37940118 37949978
uc001cbe.2 8 37955560 37980420
uc001cbi.4 4 38000049 38019945
uc001cbj.3 6 38022519 38032458
uc001cbk.3 16 38032412 38061586
uc001cbm.2 8 38076950 38100595
uc001cbp.3 5 38147241 38156192
uc001cbs.4 10 38158072 38175391
uc001cby.2 4 38259773 38267278
uc001cca.1 5 38268613 38273865
uc001ccd.2 3 38273472 38275126
uc001cce.1 11 38275238 38325292
uc001ccg.1 24 38326368 38412729
uc001cci.3 17 38422651 38455761
uc001cck.3 6 38462441 38471187
uc001ccn.4 8 38478383 38490497
uc001ccp.1 1 38509522 38512450
uc001ccq.3 7 39303868 39325495
uc001ccs.3 5 39328161 39339050
uc001ccu.1 8 39351478 39407456
uc001ccw.3 5 39456915 39471737
uc001ccy.3 3 39491966 39500308
uc001cdi.3 7 39957317 39995541
uc001cdk.3 9 39987951 40025370
uc001cdl.2 16 40026484 40042521
uc001cdo.1 1 40033045 40033182
uc001cdp.3 5 40089102 40105348
uc001cdq.1 6 40124792 40137710
uc001cdr.3 4 40144644 40157089
uc001cdw.3 11 40204516 40229586
uc001cdz.1 7 40223902 40254533
uc001ceb.1 1 40235196 40237020
uc001cer.2 3 40361095 40367687
uc001cev.3 14 40420783 40435628
uc001cey.4 13 40506254 40538321
uc001cfb.2 9 40538381 40563142
uc001cfc.4 8 40627040 40706593
uc001cfe.2 2 40713572 40717365
uc001cfg.4 10 40723721 40759856
uc001cfh.1 32 40766162 40782981
uc001cfj.3 10 40839377 40888998
uc001cfn.2 5 40916336 40929390
uc001cfo.3 6 40943301 40962015
uc001cfp.3 3 40974432 40982214
uc001cft.2 5 40997232 41013841
uc001cfu.1 8 41086351 41131324
uc001cgf.2 1 41220026 41220118
uc001cgg.3 1 41222955 41223044
uc001cgh.2 14 41249683 41306124
uc001cgj.3 1 41326727 41328018
uc001cgk.4 19 41445006 41478235
uc001cgm.2 5 41481268 41487427
uc001cgs.3 15 41492870 41707815
uc001cgx.3 5 41944445 41950344
uc001cha.4 8 41972035 42384496
uc001chc.1 3 42619091 42621495
uc001chd.1 3 42628361 42630395
uc001chf.3 13 42642209 42800903
uc001chi.2 5 42846467 42889900
uc001chj.3 8 42896000 42921938
uc001chl.3 3 42922172 42926086
uc001chq.3 10 43124047 43142429
uc001chr.3 2 43144356 43147330
uc001chs.3 8 43148065 43168020
uc001cht.1 5 43198763 43205925
uc001chx.4 14 43212005 43232755
uc001cia.4 5 43232915 43241413
uc001cib.2 3 43272722 43283059
uc001cie.1 11 43291248 43310660
uc001cij.1 4 43323292 43354460
uc001cik.2 10 43391045 43424847
uc001cil.3 4 43424719 43449029
uc001cit.4 3 43747556 43751250
uc001ciu.3 23 43766565 43788781
uc001ciw.3 12 43803474 43820135
uc001cix.3 11 43824625 43828873
uc001cje.2 8 43849578 43855483
uc001cjk.3 71 43855555 43919918
uc001cjo.3 8 43916673 43919660
uc001cjr.3 34 43996546 44089343
uc001cjx.3 22 44115796 44171189
uc001cjy.4 5 44165355 44173012
uc001cjz.4 12 44173203 44396837
uc001ckt.3 4 44398991 44402912
uc001ckx.3 20 44412477 44433694
uc001ckz.3 6 44435652 44439043
uc001cld.3 8 44440601 44443972
uc001clj.3 9 44457279 44462198
uc001cll.4 14 44462154 44483012
uc001clp.3 4 44584521 44600809
uc001clq.1 11 44679124 44686351
uc001clt.3 9 44686741 44820939
uc001clv.1 15 44870959 45117396
uc001cmc.3 3 45119500 45140099
uc001cmf.2 12 45140393 45191263
uc001cmg.4 21 45205489 45233438
uc001cmi.3 6 45241245 45244412
uc001cmj.1 1 45241536 45241610
uc001cmk.1 1 45242163 45242261
uc001cml.3 1 45244061 45244130
uc001cmm.3 9 45249256 45253426
uc001cmn.3 15 45266035 45271667
uc001cmp.3 2 45271585 45272957
uc001cmt.3 12 45316193 45452394
uc001cna.2 10 45477804 45481341
uc001cnd.2 14 45482075 45672250
uc001cne.3 1 45792544 45794346
uc001cns.1 11 45809554 45956840
uc001cnw.3 5 45959597 45965751
uc001coe.3 9 46016454 46035723
uc001coi.2 15 46049659 46084578
uc001coq.3 13 46092975 46152302
uc001cor.1 3 46153846 46160108
uc001cou.3 9 46164406 46216485
uc001cov.3 29 46269284 46501796
uc001cpb.4 10 46505811 46598380
uc001cpd.3 9 46640748 46651634
uc001cpg.3 23 46654352 46685977
uc001cpn.3 10 46744071 46769038
uc001cpp.3 4 46769379 46782447
uc001cpr.2 6 46805848 46830824
uc001cpu.2 15 46859938 46879520
uc001cpx.3 4 46972667 46979886
uc001cpy.2 3 47011315 47015678
uc001cqb.4 14 47023078 47069966
uc001cqe.4 4 47073386 47080805
uc001cqh.4 9 47100710 47134099
uc001cqj.3 2 47137496 47139256
uc001cqk.4 11 47140830 47184736
uc001cqn.4 12 47264669 47285021
uc001cqp.4 12 47394845 47407156
uc001cqt.3 12 47489239 47516423
uc001cqu.1 12 47533159 47583992
uc001cqv.1 12 47603106 47614526
uc001cqw.3 4 47649260 47655771
uc001cqx.2 4 47681962 47695443
uc001crd.1 17 47715810 47779819
uc001cri.3 6 47799468 47844511
uc001crj.1 1 47859449 47861215
uc001crk.3 1 47881743 47883724
uc001crl.3 1 47897806 47900313
uc001crm.3 1 47901688 47906363
uc001crn.2 15 48688356 48714316
uc001crr.2 13 48761043 48937876
uc001cru.2 14 48998526 50489626
uc001crx.4 6 49193539 49242547
uc001csb.2 7 50574593 50667540
uc001cse.1 19 50906934 51425936
uc001csg.3 2 51435641 51440309
uc001csh.3 5 51567905 51613754
uc001csi.4 3 51701944 51739119
uc001csq.1 25 51819934 51984995
uc001csu.3 24 52082545 52254891
uc001ctc.4 33 52254865 52344609
uc001cth.3 5 52373627 52456436
uc001cti.4 7 52485803 52521843
uc001ctj.1 1 52497776 52499472
uc001ctk.3 6 52521856 52556388
uc001cto.4 19 52607765 52812358
uc001ctq.2 24 52816264 52831877
uc001ctu.3 17 52838500 52870143
uc001ctv.4 10 52870218 52883992
uc001ctw.4 8 52870218 52883992
uc001cty.2 30 52888947 53018762
uc001cue.3 3 53068042 53074723
uc001cuf.3 3 53099065 53122737
uc001cui.2 3 53152013 53164038
uc001cuj.3 14 53192130 53293013
uc001cuk.2 14 53308182 53360247
uc001cup.4 10 53361581 53387591
uc001cur.2 16 53392900 53517289
uc001cuy.3 11 53552854 53608289
uc001cva.1 2 53580247 53584281
uc001cvb.4 5 53662100 53679869
uc001cvd.3 8 53679771 53686289
uc001cvf.2 5 53692563 53704282
uc001cvg.3 3 53704281 53708455
uc001cvi.2 19 53708040 53793821
uc001cvn.1 3 53793904 53802889
uc001cvq.1 4 53925071 53933158
uc001cvr.1 10 53971905 54199877
uc001cvs.3 18 54231133 54304225
uc001cvu.3 11 54317391 54355487
uc001cwb.3 3 54359860 54376759
uc001cwh.3 6 54387233 54411288
uc001cwj.2 8 54411998 54433841
uc001cwm.2 6 54472970 54483859
uc001cwp.3 8 54497348 54519111
uc001cwt.1 5 54519273 54565416
uc001cwv.2 4 54604667 54618679
uc001cxa.4 7 54665839 54684056
uc001cxe.4 18 54691103 54872068
uc001cxl.2 16 55013806 55076005
uc001cxn.3 8 55074849 55089200
uc001cxx.4 10 55181494 55208328
uc001cxy.3 2 55222570 55230226
uc001cyb.4 10 55271735 55307937
uc001cyc.1 9 55315299 55352921
uc001cyd.3 3 55446464 55457966
uc001cye.3 4 55464616 55474465
uc001cyf.2 12 55505148 55530526
uc001cyi.1 3 56046709 56200675
uc001cyj.2 6 56960418 57045257
uc001cyk.4 9 57110989 57181008
uc001cym.4 20 57184476 57285369
uc001cyn.3 2 57289353 57292593
uc001cyo.2 11 57320442 57383894
uc001cyp.3 12 57394882 57431688
uc001cys.1 17 57463578 58716211
uc001cyu.1 2 58326214 58328786
uc001cyw.1 1 58933598 58934677
uc001cyy.3 9 58946390 59012446
uc001cyz.4 1 59041094 59043166
uc001cze.3 1 59246462 59249785
uc001czn.3 3 60238466 60254501
uc001czo.3 22 60280532 60342050
uc001czq.3 9 60358979 60392423
uc001czs.2 12 60454823 60539442
uc001czt.1 6 61125302 61291256
uc001czu.3 7 61405915 61436448
uc001czz.1 7 62146718 62191095
uc001dab.3 43 62208148 62629591
uc001dae.4 4 62660473 62678001
uc001dah.4 10 62701836 62785083
uc001dak.2 9 62901974 62917475
uc001daq.4 49 62920396 63154039
uc001das.2 7 63063157 63071976
uc001dau.3 11 63249776 63330941
uc001daw.2 12 63624753 63782901
uc001dax.2 1 63788729 63790797
uc001dbb.2 10 63906440 63988944
uc001dbf.3 14 63989012 64038364
uc001dbg.1 1 64014650 64016307
uc001dbj.3 9 64239689 64647179
uc001dbl.3 5 64571005 64636980
uc001dbn.1 9 64669489 64710027
uc001dbo.1 27 64936475 65158741
uc001dbs.2 12 65210777 65298914
uc001dbu.1 25 65298905 65432187
uc001dbw.3 6 65445259 65468159
uc001dbx.3 1 65524116 65524191
uc001dby.3 6 65613231 65697828
uc001dce.2 19 65775217 65881552
uc001dcf.3 4 65886130 65901690
uc001dci.3 20 65886130 66103176
uc001dco.3 17 66258855 66840262
uc001dcr.3 25 66999824 67210768
uc001dcv.3 5 67218139 67244730
uc001dcw.3 2 67263423 67266942
uc001dcx.3 17 67278571 67390570
uc001dde.2 14 67390577 67454302
uc001ddk.2 12 67465014 67520080
uc001ddm.2 8 67557858 67600654
uc001ddo.3 11 67632168 67725650
uc001ddu.3 16 67773046 67862583
uc001ddv.3 8 67873492 67896123
uc001ddz.2 4 68150859 68154021
uc001dea.2 4 68167148 68299155
uc001deb.2 10 68297970 68668670
uc001ded.3 2 68511644 68516481
uc001dee.3 12 68564141 68698284
