Gene   Phenotype
133450 612219;
133510 610651;616390;
133520 278760;610965;615272;
133530 278780;616570;
133550 222730;615232;
134350 613912;
134370 126700;235400;609814;610698;
134371 235400;603075;
134570 188050;608446;613225;
134580 613235;
134629 616631;
134637 601859;
134638 211980;601859;
134770 615517;
134790 600886;606159;615604;
134797 102370;129600;154700;184900;604308;608328;614185;616914;
134820 105200;202400;616004;
134830 202400;616004;
134850 202400;616004;
134934 100800;109800;114500;146000;149730;162900;187600;187601;273300;602849;603956;610474;612247;616482;
135600 601894;614101;
135820 608180;
135940 146700;605803;
136132 602079;
136350 101600;123150;147950;166250;190440;613001;615465;
136351 601626;613065;
136352 153100;602089;
136430 613068;
136435 233300;276400;608115;
136530 229070;
136533 268220;
136836 613852;
136850 150800;606812;
137035 616461;
137060 607091;
137070 608030;614782;
137140 103780;
137150 613163;
137160 611136;615744;
137163 613060;
137164 607681;611277;
137165 616421;
137167 277450;610842;
137192 612269;617113;
137290 204870;
137295 601626;614038;614172;614286;
137350 105120;
137780 203450;
137960 256810;
138033 125853;
138040 615962;
138079 125851;125853;602485;606176;
138090 604931;
138130 606762;
138140 601042;606777;608885;612126;614847;
138160 125853;227810;
138180 614419;
138210 616281;
138244 611092;
138249 614254;
138250 219150;601162;616586;616603;
138252 613970;616139;
138253 245570;
138290 610015;
138292 610542;
138320 614164;
138322 250220;
138420 614480;
138430 125853;
138470 612924;615489;615561;
138491 149400;
138492 614619;
138570 611556;
138571 240600;
138720 231200;
138760 614033;
138850 146110;
138890 602471;
138945 607485;614706;
138971 617014;
138981 614370;
139130 145500;617024;
139150 605462;608354;608355;
139191 612781;
139250 173100;262400;262650;612781;
139311 615473;
139312 615073;
139313 145981;615361;
139320 102200;103580;166350;174800;219080;603233;612462;612463;
139330 610444;616389;
139340 613856;
139350 113800;144200;146590;600962;607602;607654;
139360 192605;
139370 602483;
139380 613065;616973;
139396 615750;
140100 614081;
141250 606963;614034;
141800 140700;604131;613978;
141850 140700;604131;613978;
141900 140700;141749;603902;603903;611162;613985;
142200 141749;
142250 141749;613977;
142360 612356;
142409 608265;
142410 125853;142330;144700;222100;600496;612520;
142445 603013;
142461 224410;255800;
142600 235700;605285;
142622 224500;
142640 613116;
142704 137580;
142800 608579;
142810 614504;616625;
142830 106300;608579;
142840 177900;609423;
142857 126200;180300;181000;
142871 600807;
142955 601536;
142958 605432;
142959 140000;176305;
142968 614744;
142976 614931;
142983 106600;189500;608874;
142984 192950;
142989 113200;113300;186000;186300;610713;
142992 612109;
142993 610092;610093;
142994 176450;
143054 616977;
143450 609015;
146661 608971;
146690 180105;613837;
146738 219050;
146740 615707;
146770 613500;
146790 152700;219700;611162;
146880 212750;
146920 127400;615010;
146929 609423;
146933 613148;
147020 601495;
147138 147050;
147141 616941;
147183 614814;
147200 614102;
147245 612692;
147265 117360;206700;606658;
147267 222100;
147280 114550;
147370 270450;
147440 608747;
147450 105400;
147460 612634;
147470 616489;
147520 613850;616647;
147545 125853;
147556 226730;
147557 131800;226650;226730;
147558 616221;
147569 614889;
147570 607948;609135;609423;609532;613254;
147571 616126;
147575 211980;613659;
147620 108010;125853;148000;266600;604302;
147650 613657;
147670 246200;262190;609968;610549;
147679 137215;612628;612852;
147683 600807;607154;
147700 137800;
147720 137215;
147730 601942;606367;
147781 147050;609423;
147796 133100;254450;263300;600800;601626;614521;
147840 611162;
147880 614689;614752;
147910 615953;
148040 131760;131800;131900;131960;179850;601001;609352;
148041 615726;
148042 615728;
148043 122100;
148060 215600;
148065 615785;
148066 125595;131760;131800;131900;161000;601001;
148067 167200;613000;
148069 167210;184500;
148070 215600;
148080 113800;607602;609165;
148760 152950;
150000 612933;
150100 614128;
150240 615191;
150292 226650;226700;
150310 104530;226650;226700;
150320 615960;
150325 609049;614199;
150330 115200;151660;159001;176670;181350;212112;248370;275210;605588;610140;613205;616516;
150340 169500;
150341 608709;616540;
150370 271400;
150571 608446;
151350 615438;
151385 601399;601626;
151410 608232;613065;
151443 601559;
151460 608971;609532;
151670 125853;612797;614025;
151750 615980;
152390 600807;
152424 613985;
152427 609620;613688;
152445 604117;
152760 614841;
152780 228300;
152790 176410;238320;
153390 615758;
153440 607507;608446;610988;
153450 105200;
153454 225400;
153456 177650;
153620 604302;
153622 176807;614266;
154045 615277;
154050 615274;
154235 614181;
154545 614372;
154550 602579;
154870 245150;
154950 171300;
155540 602025;607948;
155541 601665;
155555 203200;266300;613098;613099;
155760 165800;608361;612813;
156100 607174;
156225 607855;
156490 256700;
156540 112250;
156560 615486;616280;
156570 250940;601634;
156845 103470;103500;193510;614456;
157140 168600;172700;260540;600274;601104;
157145 611928;
157147 200100;605552;
157655 252010;
157660 250250;250460;607095;
158105 182940;607948;609423;
158340 174000;
158375 600807;
158378 213600;
159350 114500;
159440 118200;145900;180800;605253;607677;607736;607791;
159460 616680;
159465 614250;
159530 254450;601977;604498;
159555 605130;
159991 614408;
160710 613251;613252;614089;614090;
160720 178110;193700;601680;
160740 605637;
160741 158300;608837;
160745 132900;
160760 160500;181430;192600;255160;608358;613426;
160775 153640;153650;155100;600208;603622;605249;
160777 214450;
160781 608758;
160790 608751;
160794 614335;614915;
160998 114480;
161015 252010;
161561 614890;
161650 256030;
162030 608654;
162080 613750;
162150 600955;612362;
162230 105400;616924;
162280 607684;607734;
162330 614839;
162332 614840;
162643 193670;
162662 613100;
163729 104300;145500;189800;601367;
163730 145500;611162;
163890 127750;168601;605543;
163970 604715;
164005 602535;614753;
164008 612132;
164009 612376;
164010 614961;
164011 616576;
164012 615577;
164015 606070;
164017 615424;615426;
164040 601626;
164050 613179;
164160 614962;
164350 222100;
164360 615228;616045;
164730 114480;114500;167000;176920;181500;615109;
164731 125853;240900;
164757 115150;211980;613706;613707;
164760 611553;611554;615916;
164761 142623;155240;162300;171300;171400;209880;
164770 221820;
164780 182212;
164785 614401;
164790 114500;137550;162900;163200;188470;249400;613224;614470;
164820 615220;615221;
164840 164280;
164860 114550;605074;607278;616705;
164870 137800;211980;613659;
164874 613454;
164920 154800;172800;273300;601626;606764;
164950 610706;
164975 180700;
165190 190330;
165215 616738;
165230 610829;615849;
165240 146510;174200;174700;175700;241800;
165330 273395;
165360 607785;613563;
165640 114500;
167409 120330;616002;
167410 268220;
167411 615560;
167413 125853;612225;612227;
167414 615545;
167415 218700;
167416 604625;
167420 202650;
167790 167800;608189;
168450 146200;
168461 114500;193300;254500;
168468 125350;156400;215045;600002;
168470 613382;
168820 612633;
170260 604571;
170261 604571;
170280 603553;605027;609135;
170290 613877;
170710 105400;
170993 614866;614867;
170995 616278;
171050 120080;612244;
171060 600803;602347;614972;
171640 607944;
171650 200950;
171760 146300;241500;241510;
171833 269880;615214;616005;
171834 114480;114500;114550;162900;167000;182000;211980;602501;612918;613659;615108;
171900 614921;
172100 615816;
172400 613470;
172405 609909;613874;
172411 114500;
172460 601634;
172471 613027;
172480 614023;
172490 261750;
172860 613982;
173110 613038;
173321 613453;
173325 601214;611528;
173335 125853;208000;601665;613312;615522;
173350 217090;
173360 613329;
173370 612348;
173410 131440;228550;601812;615007;616592;
173470 187800;273800;608446;
173490 606764;607685;
173510 608404;610938;611162;
173515 231200;
173610 147050;
173910 613095;
174761 612591;615381;
174762 615083;615139;
174763 157640;203700;258450;607459;613662;
176258 616187;
176260 160120;
176261 612347;613695;
176262 616366;
176264 605259;
176267 612240;
176300 105210;115430;145680;
176610 614808;
176640 123400;137440;245300;600072;603218;606688;
176705 114480;
176730 125852;606176;613370;616214;
176740 615919;
176761 615554;615555;
176790 112240;
176797 612447;
176801 249900;610539;611721;611722;
176804 208550;
176830 601665;609734;
176872 615279;
176876 151100;156250;163950;607785;
176880 612336;614514;
176885 125853;
176891 600263;
176893 616176;
176894 615436;
176895 614024;
176930 188050;601367;613679;614390;
176941 611521;
176943 101200;101400;101600;123150;123500;123790;149730;207410;609579;613659;614592;
176946 116600;
176947 269840;617006;
176977 615559;
176980 605361;
177046 256040;
177060 174050;
177070 612690;
177075 601088;610202;
178620 610913;
178630 178500;
178640 265120;
178642 178500;
179035 612940;614438;
179060 614111;
179410 611022;
179590 616001;
179605 136880;169150;608133;608161;613105;
179615 233650;601457;603554;609889;
179616 233650;601457;603554;
179617 114480;614508;
179755 605074;
179820 267430;613092;
180040 610612;
180069 204100;613794;
180071 613810;
180072 163500;613801;
180073 613582;
180090 136880;607475;607476;
180220 615524;
180240 612376;
180250 615147;616428;
180290 615233;
180297 185000;268150;
180380 136880;610445;613731;
180381 613411;
180430 608611;
180435 601518;
180468 612528;
180472 612527;
180721 608133;
180901 117000;145600;255320;
180902 600996;604772;
180960 613752;
181031 258100;613758;
181510 181500;
181590 612703;
182100 612542;
182120 616507;
182125 612716;
182135 103780;164230;181500;606788;608516;
182138 164230;607834;
182279 176270;
182282 117650;
182283 609423;
182307 616868;
182309 612286;613388;616963;
182330 145500;
182340 104290;602481;
182350 128235;601338;614820;
182380 606824;
182381 233100;
182389 604403;607208;609634;
182390 607745;613721;
182465 617140;
182530 135300;610733;
182810 613477;
182860 130600;266140;270970;
182870 616649;
184429 206900;
184600 607936;
184745 145250;611664;616697;
184755 613724;
184757 612964;612965;613957;
185250 614466;
185470 115310;171300;606764;606864;612359;
185535 613217;613244;
185620 256000;616684;
185880 108600;
186357 601665;
186711 615122;
186740 615607;
186780 610163;
186790 615617;
186830 615615;
186845 613496;
186855 613065;
186880 615387;
186910 608957;
186940 613949;
186973 613011;
187040 613065;
187270 601626;613989;614742;615134;
187380 615629;
187680 610460;
188040 612926;614486;
188061 603932;
188070 614009;
188250 609560;617069;
188380 613740;
188450 274700;608175;
188540 275100;
188826 136900;
188830 101800;160980;255960;610489;
188840 600334;603689;604145;608807;611705;613765;
189907 125853;137920;144700;
189909 609141;613270;
189964 616943;
189967 108985;
190000 209300;
190010 616740;
190020 109800;137550;162900;163200;188470;218040;
190040 607174;607907;615483;
190070 109800;114480;137215;163200;211980;260350;601626;609942;614470;615278;
190080 113970;
190090 114500;616937;
190120 614450;
190151 607598;
190160 145650;188570;274300;
190180 131300;219700;
190181 132800;609192;
190182 133239;610168;614331;
190195 242300;
190197 615400;
190198 109730;616028;
190220 614816;
190230 107970;615582;
190315 615182;
190450 615512;
190990 108120;601680;609285;
191010 115196;611878;
191030 255310;609284;
191040 611879;613243;
191041 605355;
191043 601680;
191044 115210;611880;613286;613690;
191045 115195;601494;612422;
191092 606690;613254;
191110 616208;
191130 156610;615771;
191135 615412;
191160 157300;600807;611162;
191163 616744;
191170 114480;114500;114550;137800;151623;202300;259500;260350;260500;607107;614740;
191190 142680;614810;
191195 211980;
191290 605407;
191305 613375;
191306 602089;
191311 271665;
191315 155240;256800;
191329 615160;
191330 615158;
191339 119540;
191342 613643;615491;
191350 608093;614750;
191523 602491;
191525 608106;
191740 143500;218800;237900;601816;606785;
191840 104300;601709;
191845 162000;603860;609886;
192090 114480;137215;167000;176807;608089;
192132 267300;
192240 603933;
192340 125700;
192974 614200;
192977 224050;
193060 116300;
193065 611407;613255;
194355 612371;
194363 616541;
194648 615226;
195000 615774;
200350 613933;
209901 209900;
211100 616754;
217030 610984;612923;615439;
217050 612446;
217070 610102;
229000 612423;
231675 231680;
232000 606054;
232050 606054;
238300 605899;
238310 605899;
238330 605899;
238331 246900;
243305 602088;
246530 614037;
246600 614338;
248610 248600;
248611 248600;
251170 175900;260920;610377;
252800 607014;607015;607016;
264900 612416;
274180 231095;614158;
275360 612119;
276000 167800;614044;
276903 276900;600060;601317;
300005 300055;300260;300496;300673;312750;
300008 300009;300554;308990;310468;
300011 300489;304150;309400;
300013 300855;309800;
300014 302500;
300017 300048;300049;300244;300321;304120;305620;309350;311300;314400;
300019 309541;
300032 300448;301040;309580;
300035 304110;
300036 300352;
300037 194070;312870;
300039 304400;
300040 300590;
300056 309801;
300072 300919;300968;
300075 300844;303600;
300078 252010;
300079 300635;
300080 311900;
300084 300967;
300090 300934;
300095 300523;
300096 300210;
300104 300849;
300105 309583;
300108 300511;
300110 300071;300476;300600;
300120 300758;
300121 300067;
300126 305000;
300127 300486;
300128 300867;
300131 300910;
300135 301310;
300137 300888;
300138 300886;
300139 300472;
300142 300558;
300144 168600;
300145 300909;
300157 300387;
300160 300958;
300163 300695;300696;300717;300718;
300169 300614;300816;310490;
300170 300209;300424;300804;311200;
300172 300422;300749;
300180 302950;
300188 300895;305450;309520;
300189 300850;
300192 300813;
300193 300915;
300197 300972;
300199 300238;
300202 313400;
300203 300672;
300204 300928;
300205 300960;302960;
300206 300143;
300226 300066;
300231 300243;
300247 300510;
300248 300291;300301;300584;300636;300640;308300;
300256 300220;300438;
300264 300857;
300265 306955;314390;
300267 300436;
300269 300882;
300272 300863;
300275 300831;308050;
300278 310500;
300292 222100;304790;
300294 300918;308205;308800;
300298 300676;
300300 300755;307200;
300304 300354;
300307 302905;303400;
300311 309120;
300336 300425;300494;
300350 309300;
300356 304700;
300371 300100;
300377 300376;302045;310200;
300379 300978;
300382 300004;300215;300419;308350;309510;
300383 312060;
300384 310300;
300386 308230;
300390 303100;
300391 301200;
300392 300299;301000;313900;
300393 300943;
300394 302060;
300395 300957;
300398 300475;
300401 312080;312920;
300403 300952;
300414 301900;
300415 310400;
300427 300495;300497;
300429 300607;
300444 300306;
300451 305100;313500;
300457 302200;302350;
300460 300088;
300461 311250;
300463 309500;
300470 300971;
300473 300018;300200;
300474 307030;
300481 300645;306400;
300485 300166;
300490 308240;
300499 309549;
300502 312170;
300515 300514;
300521 300923;
300522 309530;
300524 300912;
300526 300894;
300535 300555;309000;
300538 300539;304800;
300546 305400;
300550 307800;
300552 300000;
300553 300659;
300556 300423;300911;
300560 300263;
300572 300985;
300576 300577;
300579 300434;
300603 300604;
300610 300986;
300611 300622;
300628 310700;
300629 304340;
300642 300643;
300644 301500;
300646 300799;
300647 300373;
300651 305600;
300658 305390;310600;
300697 300706;
300708 300707;
300715 300853;
300746 122700;300807;306900;
300747 308100;
300757 312600;
300774 300271;311510;
300776 300884;
300777 300872;
300798 306000;
300806 309548;
300808 300500;300814;
300821 303700;303800;
300822 303700;303900;
300823 309900;
300827 309630;
300828 300830;
300836 308700;
300838 300983;
300839 312700;
300841 306700;
300859 300963;
300885 300887;
300897 314580;
300906 300905;
300913 310440;
300945 300946;
300951 300953;
300964 309585;
300975 300984;
300980 300982;
301300 300751;300752;
301870 300106;
302910 300114;
303630 301050;
303631 300914;
304040 302800;
305371 190685;300367;300835;314050;
305900 134700;300908;611162;
305915 300699;
306250 300770;
308000 300322;300323;
308380 300400;312863;
308840 303350;304100;307000;
309060 300257;
309550 300623;300624;311360;
309850 300615;
311770 300818;300868;
311800 300653;
311850 300661;301835;304500;311070;
311870 300559;
312040 301220;
312173 300847;
312180 300860;
312610 300029;300455;300834;304020;
312820 300813;
312865 127300;249700;300582;
313430 300123;312000;
313440 300491;
313475 300802;
313650 300966;314250;
313700 176807;300068;300633;312300;313200;
314200 300932;
314310 300854;
314370 301830;
314375 300896;
314670 300087;
314690 300534;
314850 300842;
314990 300803;
314998 300498;
400005 415000;
400020 127300;249700;300582;
480000 400044;400045;
600003 611876;
600005 180300;209920;
600014 601358;
600016 612540;
600020 176807;
600024 169400;215140;613471;
600028 220600;
600031 614122;
600035 269160;
600037 610125;613986;
600040 114500;613065;
600044 187950;
600046 143890;205400;604091;
600053 216900;
600065 116920;
600073 222448;
600075 168600;607136;
600079 114500;
600104 616040;
600108 250400;602111;
600111 612656;
600112 158600;614228;614563;
600119 608099;
600124 615422;
600129 606799;614613;
600133 615235;
600140 180849;
600144 106190;
600147 214300;
600150 609446;
600160 155601;155755;606719;
600163 113900;272120;601144;601154;603829;603830;608567;614022;
600168 617075;
600170 607457;
600173 600802;
600179 204000;601777;
600185 114480;155255;176807;194070;605724;612555;613029;613347;
600194 146800;
600201 611742;
600206 615974;
600211 119600;156510;
600220 614468;614878;
600221 600195;
600225 128230;233910;
600228 264350;613021;
600229 616657;
600234 605911;
600235 604233;612838;615377;
600236 243605;
600244 126200;605218;
600259 276300;614337;
600266 607948;610446;
600271 613102;
600275 102500;610205;
600276 125310;130720;615293;
600279 614886;
600281 125850;125853;616026;
600286 616531;
600287 600794;601472;
600293 606703;
600294 616287;
600300 617105;
600301 610006;
600310 132400;177170;
600315 615593;
600322 616330;
600342 613769;
600354 253300;253400;253550;271150;
600359 241200;
600364 602093;
600370 610773;
600374 615982;
600397 616056;
600414 202370;214110;616716;
600415 277460;
600417 613162;
600423 145500;613870;
600429 110800;116700;
600442 600231;
600450 614279;
600451 614279;
600456 613886;
600463 615113;
600465 615493;
600470 616602;
600473 616158;
600478 614602;
600480 615314;
600483 612702;
600495 614251;
600502 604320;616155;
600509 125853;240800;256450;606176;610374;
600511 181500;
600514 257320;616436;
600515 609821;
600521 257920;
600523 206100;
600525 104510;190320;
600528 255120;
600529 250950;
600532 252010;
600533 182940;
600536 613204;
600542 612237;
600543 615515;
600548 182170;616854;
600555 613796;614162;614892;
600556 616636;
600558 612253;
600564 143890;
600565 614325;614332;
600570 607628;615651;
600571 616806;
600574 615670;616564;
600576 187500;607941;614429;614430;615542;
600577 221750;
600579 614196;
600582 601552;
600584 108900;187500;217095;225250;614432;614435;
600599 111150;613566;613673;
600617 201710;
600618 601626;616216;
600623 176807;
600632 167000;
600635 118700;188550;610978;
600644 225060;
600650 255110;600649;608836;614212;
600660 608320;
600662 613443;
600664 613630;
600675 114480;613972;
600678 276300;608089;614350;
600681 170390;609622;613980;
600682 245340;610021;616095;
600692 601680;
600698 150699;
600700 601626;
600701 125853;
600702 614306;614558;617080;
600709 617093;
600712 616580;
600713 614662;
600716 152700;180300;222100;
600722 256730;
600724 613767;
600725 142945;147250;269160;611638;
600726 112500;607778;
600733 125853;260370;606392;
600734 613485;613677;
600749 245480;
600754 277950;
600755 181500;
600759 606889;613697;
600760 177200;211400;264350;
600761 177200;264350;613071;
600770 178500;
600778 610755;
600783 614926;
600797 125853;
600799 178600;265450;
600804 125853;
600805 226650;226700;245660;
600810 614669;
600811 278740;
600814 604391;
600824 607482;612124;
600827 613093;
600829 258480;
600835 609423;
600836 115900;
600837 171300;209880;613711;
600838 601705;
600839 601678;
600842 613463;
600844 608224;
600845 609821;
600853 616116;
600855 614104;
600856 130650;614732;
600857 252011;256000;613642;614165;
600864 615224;
600871 607847;613107;
600877 614098;
600887 608089;617100;
600890 609015;609016;
600897 116200;
600898 615866;
600899 615966;
600900 604286;
600909 616509;
600917 125853;
600921 612961;
600922 613780;
600923 176200;
600924 613076;
600925 114500;
600928 617118;
600929 611544;
600936 114480;
600937 125853;601820;606176;610582;616329;
600939 614188;
600943 610504;613848;
600946 143890;262500;604271;
600956 261550;
600957 261550;
600958 115197;615396;
600963 610896;
600968 263800;
600970 606346;607821;
600980 241520;
600982 613762;
600983 177735;605115;
600985 606408;615963;
600993 139210;174900;175050;260350;
600997 603688;
600998 163000;185300;
601002 231900;266130;
601007 614963;
601011 108500;141500;183086;617106;
601012 614860;
601015 607625;
601017 612955;
601022 180300;
601023 167320;613954;616687;
601040 610762;
601047 606721;612526;615343;
601065 613287;616339;
601089 265380;
601090 601631;602482;
601093 600791;
601094 107250;610256;
601097 118220;118300;139393;145900;162500;180800;
601103 616166;
601105 265800;
601107 237500;
601119 614129;
601130 122700;
601134 615596;
601143 105400;168605;607641;
601145 254800;
601146 112600;113100;200700;201250;228900;610017;612400;615072;615298;
601147 118100;613094;613703;615360;
601150 613398;
601156 600807;609423;
601176 608446;
601181 608033;
601184 616192;
601190 610024;
601192 228980;
601194 613223;
601197 616188;
601199 145980;239200;601198;612899;
601205 605192;608389;
601215 210600;614564;
601231 616638;
601239 604169;
601240 612736;
601247 616559;
601248 255200;
601253 123320;192600;606072;607801;611818;614321;
601255 610357;614213;614255;
601259 616270;
601263 615280;
601265 270100;
601282 131950;226670;612138;613723;616487;
601284 600376;
601295 613291;
601296 208150;616325;
601299 174900;610069;
601309 109400;605462;610828;
601313 173900;
601314 137200;
601327 615378;
601330 614616;614665;
601336 606056;
601365 616331;
601368 616894;
601373 609532;610379;612522;
601385 611093;
601387 114480;
601395 609423;
601397 182940;615709;
601402 601626;
601405 167800;
601408 616268;
601411 601287;606685;
601421 613641;613916;
601424 245050;
601428 210710;616651;
601439 239850;608569;614050;
601440 615008;
601443 610687;
601445 252010;
601460 614441;
601465 251880;617068;617070;
601470 607339;609423;613784;
601479 614131;
601485 616172;
601487 125853;601665;604367;609338;
601488 613960;
601489 615961;
601498 614862;614863;616617;
601500 601707;605462;
601501 614203;
601515 609307;
601517 168600;183090;
601525 181500;611960;
601527 613456;
601528 615907;
601530 167250;616437;617145;
601538 262600;
601542 137600;180500;180550;604229;
601545 607432;
601548 126600;
601556 164400;
601564 167800;
601565 614893;614894;
601566 275355;
601567 227300;
601568 617008;
601570 228930;276820;
601573 277590;
601574 612237;
601592 208150;616326;
601593 114480;
601601 169100;617035;
601604 614891;
601607 162091;609322;614608;
601609 231530;609975;
601615 610921;
601617 136880;
601618 137940;607823;
601620 142900;
601621 181450;
601622 101400;123100;180750;
601623 105830;
601627 253400;
601639 615830;
601646 616355;
601652 137750;
601653 113650;166780;602588;
601656 187500;217095;600001;614474;614475;
601664 610359;
601683 616733;
601687 122100;
601688 119900;259100;
601689 615841;
601690 147050;600807;614278;
601691 153800;248200;601718;604116;
601692 121820;121900;122200;602082;607541;608470;608471;
601693 607447;
601697 617115;
601699 145500;
601717 613101;
601719 147891;
601724 125853;606394;
601728 153480;155600;158350;176807;275355;276950;605309;607174;608089;613028;
601731 608688;
601743 105250;
601749 138000;
601752 615683;
601756 211900;
601757 215100;614879;
601758 266510;614859;
601762 603909;605027;613659;
601763 114480;114550;211980;607271;
601767 176807;
601768 601626;
601769 166710;277440;
601771 231300;604229;
601785 212065;
601788 614160;
601789 614883;614885;
601791 614887;
601802 182230;
601806 223100;
601807 611543;
601810 615156;615807;
601814 154020;
601825 256000;
601837 254500;606593;
601843 274400;
601844 614491;
601860 233400;261515;
601861 209920;
601863 209920;
601865 609220;
601873 609195;
601881 611038;
601893 617061;
601896 614849;
601898 615925;
601900 611724;
601902 224690;
601903 612560;
601906 225300;617073;
601911 616788;
601912 613705;
601920 118450;187500;
601924 616414;
601925 615244;
601928 158000;
601949 607682;613855;
601962 604571;
601975 604536;
